d058.s043.t000	4) temporary housing for homeless or displaced persons.
d058.s043.t001	4) show in, or as in, a picture.
d058.s043.t002	0) one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pict
d058.s043.t003	0) the cardinal number that is the sum of twenty-three and one. 1) the ordinal number that is the
d058.s043.t004	4) make a possibility or provide opportunity for; permit to be attainable or cause to remain.
d058.s043.t005	0) (of actions or states) slightly short of or not quite accomplished; all but. 0) (of
d058.s043.t006	1) complete and without restriction or qualification; sometimes used informally as intensifiers.
d058.s043.t007	3) the condition of being protected.
d058.s043.t008	0) the radioactive particles that settle to the ground after a nuclear explosion.
d058.s043.t009	0) energy that is radiated or transmitted in the form of rays or waves or particles.
d160.s058.t000	0) relating to physical chemistry. 0) relating to physical chemistry. 0) relating to physical chemistry.
d160.s058.t001	1) the work of inquiring into something thoroughly and systematically. 1) the work of inquiring into something thoroughly
d160.s058.t002	0) of or relating to anions. 8/10Explanation: The definition is correct because "anionic
d160.s058.t003	0) a chemical agent capable of reducing the surface tension of a liquid in which it is dissolved. 0) a
d160.s058.t004	2) add as part of something else; put in as part of a set, group, or category. 1
d160.s058.t005	0) a cleansing agent made from the salts of vegetable or animal fats.
d160.s058.t006	2) establish the validity of something, as by an example, explanation or experiment. 2) provide evidence for.
d160.s058.t007	0) have the quality of being; (copula, used with an adjective or a predicate noun) 5)
d160.s058.t008	0) limited or below average in number or quantity or magnitude or extent.
d160.s058.t009	0) a chemical process that combines several monomers to form a polymer or polymeric compound. 0) a chemical
d160.s058.t010	1) the act of collecting in a mass; the act of agglomerating. 0) a jumbled collection
d160.s058.t011	1) (chemistry) a series of linked atoms (generally in an organic molecule) 0) a series of
d160.s058.t012	0) a negatively charged ion.
d160.s058.t013	0) in or to a place that is lower.
d160.s058.t014	0) definite but not specified or identified. 0) definite but not specified or identified. 0) definite but
d160.s058.t015	3) the approximate amount of something (usually used prepositionally as in `in the region of') 3)
d160.s058.t016	0) the strength of a solution; number of molecules of a substance in a given volume. 7.9/
d160.s058.t017	4) forming or having the nature of a turning point or crisis. 7) of or involving or characteristic of a
d160.s058.t018	0) an electrically charged particle built up from polymeric molecules or ions and occurring in certain colloidal electrolytic solutions
d160.s058.t019	0) the strength of a solution; number of molecules of a substance in a given volume.
d163.s089.t000	0) definitely not.
d163.s089.t001	4) happen, occur, take place.  Final Answer: The final answer is 4) happen, occur,
d163.s089.t002	1) being or feeling set or kept apart from others; ; - Sherwood Anderson. ... ... ...
d163.s089.t003	0) an occurrence of something. 0) an occurrence of something. 0) an occurrence of something.
d333.s042.t000	2) skip, leap, or move up and down or sideways. 0) move in a graceful and rhythmical
d333.s042.t001	2) originate (in)  or 5) have a place in relation to something else.  (I think
d079.s107.t000	2) stop or check by or if by a pull at the reins.
d079.s107.t001	1) the people living in a municipality smaller than a city.
d079.s107.t002	0) a law officer having duties similar to those of a sheriff in carrying out the judgments of a court of law.
d079.s107.t003	1) an administrative unit of government. 7) an administrative unit of government. 8) an administrative unit of
d079.s107.t004	8) separate partitioned area in a public place for a few people. 8) a small, enclosed space,
d079.s107.t005	0) having a specified size. 1) is not relevant. 2) is not relevant. 3)
d079.s107.t006	0) a structure that has a roof and walls and stands more or less permanently in one place.
d079.s107.t007	2) a determination of the place where something is.
d178.s073.t000	3) assign a location to.
d178.s073.t001	0) in an appropriate manner.
d178.s073.t002	3) having an abundant supply of money or possessions of value.  #fitness #barbell #loaded#fitness
d178.s073.t003	0) a bar to which heavy discs are attached at each end; used in weightlifting. 0) a bar
d178.s073.t004	0) hold firmly. 0) hold firmlyFinal Answer: The final answer is 0) hold firmly.
d178.s073.t005	12) a horizontal rod that serves as a support for gymnasts as they perform exercises.  Final Answer: The final
d178.s073.t006	5) a support on which things can be put. 7) a support on which things can be put.
d178.s073.t007	0) related to or located at the back.
d178.s073.t008	0) the part of an organism (human or animal) that connects the head to the rest of the body.
d178.s073.t009	15) continue or extend.  #  #  #  #  #  #  #  #  #
d178.s073.t010	0) the part of the leg of a human being below the ankle joint.
d178.s073.t011	3) in a forward direction. 0) at or to or toward the front; ; ; ; (`forrad
d178.s073.t012	0) at or to or toward the back or rear.
d178.s073.t013	0) have the quality of being; (copula, used with an adjective or a predicate noun) 0)
