ID,SENTENCE,FINE_PRED,COARSE_PRED,COARSE_LABELS,COARSE_CANDIDATES
semcor_d042.s057,"Yes , he believed that the Jews were `` enemies of the <<<Reich>>> '' , and such a belief is , of course , typical of `` patriotic '' anti-Semites ; but he believed in the Jew as enemy in a kind of abstract , theological way , like a member of a cult speculating on the nature of things .",reich.n.01,reich.n.h.01,['reich.n.h.01'],"['reich.n.h.01', 'reich.n.h.03', 'reich.n.h.02']"
semcor_d042.s057,"He found tepid water in a <<<pitcher>>> and a last bit of soap , and he lathered his face and stood stropping the razor on his broad leather belt , its buckle held firm by a knob of the bedpost .",pitcher.n.02,pitcher.n.h.01,['pitcher.n.h.01'],"['pitcher.n.h.02', 'pitcher.n.h.01']"
semcor_d042.s057,<<<Bank>>> on your good education .,deposit.v.02,bank.v.h.02,['bank.v.h.02'],"['bank.v.h.01', 'bank.v.h.02']"
semcor_d042.s057,"Still , he had liked the way she had looked , in a fresh , neat cotton dress - citron yellow , if he remembered . She had had a dignity about her , even barefoot and almost too <<<tan>>> .",tan.n.01,tan.n.h.01,['tan.n.h.01'],"['tan.n.h.01', 'tan.n.h.02']"
semcor_d042.s057,"What I have observed time and time again is a process of integration , integration that begins as abstract design and gradually takes on recognizable form ; color patterns that are made to <<<weave>>> throughout the whole composition ; and that over all , amazing control of large washes which is the Mason stylemark .",weave.v.01,weave.v.h.01,['weave.v.h.01'],"['weave.v.h.01', 'weave.v.h.02']"
semcor_d042.s057,"Contrast trim provides other touches of color . Spectators in white crush textures dip toe and heel in smooth black , navy and taffy <<<tan>>> .",tan.n.01,tan.n.h.01,['tan.n.h.01'],"['tan.n.h.01', 'tan.n.h.02']"
semcor_d042.s057,The delicate <<<cast>>> of his features .,cast.n.03,cast.n.h.01,['cast.n.h.01'],"['cast.n.h.02', 'cast.n.h.01']"
semcor_d042.s057,The cat <<<lapped>>> up the milk .,lick.v.02,lap.v.h.02,['lap.v.h.02'],"['lap.v.h.01', 'lap.v.h.02']"
semcor_d042.s057,The moon is <<<waxing>>> .,wax.v.02,wax.v.h.02,['wax.v.h.02'],"['wax.v.h.01', 'wax.v.h.02']"
semcor_d042.s057,The car <<<pinked>>> when the ignition was too far retarded .,tap.v.07,pink.v.h.03,['pink.v.h.03'],"['pink.v.h.03', 'pink.v.h.02']"
semcor_d042.s057,"Suddenly he was interrupted in his daydreaming by a warm wetness <<<lapping>>> against his chin , and his eyes opened wide and long at the sight of a goat 's claret tongue , feasting against the salt taste of him .",lick.v.02,lap.v.h.02,['lap.v.h.02'],"['lap.v.h.01', 'lap.v.h.02']"
semcor_d042.s057,"Any alteration of one of these factors is distortion , although we generally use that word only for effects so pronounced that they can be stated quantitatively on the basis of standard tests . Yet it is the accumulation of distortion , the fitting together of fractional <<<bits>>> until the total reaches the threshold of our awareness , that makes records sound like records .",moment.n.02,bit.n.h.01,['bit.n.h.01'],"['bit.n.h.01', 'bit.n.h.02', 'bit.n.h.03']"
semcor_d042.s057,The deputy <<<ragged>>> the Prime Minister .,annoy.v.01,rag.v.h.02,['rag.v.h.02'],"['rag.v.h.02', 'rag.v.h.03', 'rag.v.h.04']"
semcor_d042.s057,Total distance is about 21 64 '' . <<<Tend>>> to make this dimension slightly undersize so you can file the screw head to get exactly 1 4 '' tappet movement .,tend.v.01,be_given.v.h.01,['be_given.v.h.01'],"['tend.v.h.02', 'be_given.v.h.01']"
semcor_d042.s057,The ship arrived at the <<<dock>>> more than a day late .,pier.n.01,dock.n.h.01,['dock.n.h.01'],"['dock.n.h.02', 'dock.n.h.03', 'dock.n.h.01', 'dock.n.h.04']"
semcor_d042.s057,"Like many others , he had to work hard , long hours in a struggling family business which , though it was allied to art of a kind - the design and production of engraved <<<seals>>> - bore no relation to the painting of pictures .",sealing_wax.n.01,seal.n.h.02,['seal.n.h.02'],"['seal.n.h.02', 'seal.n.h.03', 'navy_seal.n.h.01']"
semcor_d042.s057,"Practice helps you to get your timing down . `` It 's kind of like golf - if you do n't swing a <<<club>>> very often , your timing gets off '' .",club.n.03,club.n.h.02,['club.n.h.02'],"['club.n.h.01', 'club.n.h.02']"
semcor_d042.s057,He drove an extra <<<lap>>> just for insurance .,lap.n.05,lap.n.h.02,['lap.n.h.02'],"['lap.n.h.01', 'lap.n.h.02', 'lap.n.h.03']"
semcor_d042.s057,He 's a mere <<<slip>>> of a lad .,slip.n.10,slip.n.h.02,['slip.n.h.02'],"['slip.n.h.01', 'slip.n.h.03', 'slip.n.h.02']"
