ID,SENTENCE,COARSE_PRED,FILTERED_FINE_CANDIDATES,FINE_PRED,FINE_LABELS,FINE_CANDIDATES
semcor_d042.s057,<<<Paddle>>> your own canoe .,paddle.v.h.01,"['paddle.v.01', 'spank.v.01', 'paddle.v.06']",paddle.v.01,['paddle.v.01'],"['paddle.v.01', 'dabble.v.02', 'paddle.v.03', 'toddle.v.01', 'spank.v.01', 'paddle.v.06']"
semcor_d042.s057,"This is followed by a tremendous suck of water away from the shore as the first great trough arrives . <<<Reefs>>> are left high and dry , and the beaches are covered with stranded fish .",reef.n.h.01,"['reef.n.01', 'witwatersrand.n.01']",reef.n.01,['reef.n.01'],"['reef.n.01', 'witwatersrand.n.01', 'reef.n.03']"
semcor_d042.s057,Drill 20 No. 47 holes in the upper piece `` A '' as shown in Fig. 7 . <<<Tap>>> these 3 - 48 for mounting the electrical contact later on .,tap.v.h.01,"['tap.v.01', 'tap.v.02', 'exploit.v.02', 'wiretap.v.01', 'tap.v.06', 'tap.v.10', 'tap.v.11']",tap.v.01,['tap.v.01'],"['tap.v.01', 'tap.v.02', 'tap.v.03', 'exploit.v.02', 'wiretap.v.01', 'tap.v.06', 'tap.v.07', 'tap.v.08', 'tapdance.v.01', 'tap.v.10', 'tap.v.11', 'solicit.v.01']"
semcor_d042.s057,"If an expensive and specialized piece of machinery is needed - such as a spray rig , a <<<combine>>> , or a binder - it is better to pay someone with a machine to do the work .",combine.n.h.02,['combine.n.01'],combine.n.01,['combine.n.01'],"['combine.n.01', 'trust.n.04', 'combining.n.01']"
semcor_d042.s057,"Then , having wrapped the lot in an afghan my dog customarily slept on , you lammed out the front door , considerately leaving it open for neighbors to discover . So much for the tiresome facts , as familiar to you , I'm sure , as to the <<<constables>>> and state troopers who followed in your wake .",constable.n.h.02,"['constable.n.01', 'constable.n.03']",constable.n.01,['constable.n.01'],"['constable.n.01', 'constable.n.02', 'constable.n.03']"
semcor_d042.s057,Workers in <<<AI>>> hope to imitate or duplicate intelligence in computers and robots .,ai.n.h.03,['artificial_intelligence.n.01'],artificial_intelligence.n.01,['artificial_intelligence.n.01'],"['army_intelligence.n.01', 'artificial_intelligence.n.01', 'three-toed_sloth.n.01', 'artificial_insemination.n.01']"
semcor_d042.s057,Pull the <<<tab>>> to open the can .,tab.n.h.03,"['check.n.03', 'tab.n.04']",tab.n.04,['tab.n.04'],"['check.n.03', 'yellow_journalism.n.01', 'tab_key.n.01', 'tab.n.04', 'pill.n.02']"
semcor_d042.s057,"With that he hurried up the stairs , followed by her suspicious gaze . When Alex entered his room , the doctor was already preparing a nest in the straw <<<case>>> , six eggs ready for the hen 's attentions .",case.n.h.02,"['case.n.05', 'case.n.10', 'font.n.01', 'sheath.n.02', 'shell.n.08', 'casing.n.03', 'case.n.18', 'case.n.19']",case.n.05,['case.n.05'],"['case.n.01', 'event.n.02', 'lawsuit.n.01', 'case.n.04', 'case.n.05', 'case.n.06', 'subject.n.06', 'case.n.08', 'case.n.09', 'case.n.10', 'case.n.11', 'case.n.12', 'character.n.05', 'font.n.01', 'sheath.n.02', 'shell.n.08', 'casing.n.03', 'case.n.18', 'case.n.19', 'case.n.20']"
semcor_d042.s057,Break the end corners with a slight 45 degree chamfer . Drill a No. 50 hole 1 - 1 4 '' from one end and <<<tap>>> 2 - 56 .,tap.v.h.01,"['tap.v.01', 'tap.v.02', 'exploit.v.02', 'wiretap.v.01', 'tap.v.06', 'tap.v.10', 'tap.v.11']",tap.v.01,['tap.v.01'],"['tap.v.01', 'tap.v.02', 'tap.v.03', 'exploit.v.02', 'wiretap.v.01', 'tap.v.06', 'tap.v.07', 'tap.v.08', 'tapdance.v.01', 'tap.v.10', 'tap.v.11', 'solicit.v.01']"
semcor_d042.s057,The family is sitting <<<shiva>>> .,shibah.n.h.01,['shiva.n.01'],shiva.n.01,['shiva.n.01'],"['shiva.n.01', 'siva.n.01']"
