ID,SENTENCE,COARSE_PRED,FILTERED_FINE_CANDIDATES,FINE_PRED,FINE_LABELS,FINE_CANDIDATES
parity.n.01_example.0,The <<<parity>>> of the mother must be considered .,para.n.h.03,['parity.n.01'],parity.n.01,['parity.n.01'],"['parity.n.01', 'parity.n.02', 'parity_bit.n.01', 'parity.n.04', 'parity.n.05']"
semcor_d021.s060,There is a legend ( Hawthorne records it in his `` English Notebooks '' . And one finds it again in Thomas Nelson Page ) to the effect that the <<<Mayflower>>> on its second voyage brought a cargo of Negro slaves .,mayflower.n.h.01,['mayflower.n.01'],mayflower.n.01,['mayflower.n.01'],"['mayflower.n.01', 'trailing_arbutus.n.01']"
semcor_d183.s006,"Scotty 's father sat sprawled in his chair , angular , alert as a <<<cricket>>> , looking about at the huge stainless-steel appointments of the room with an expression of proprietorship .",cricket.n.h.02,['cricket.n.01'],cricket.n.01,['cricket.n.01'],"['cricket.n.01', 'cricket.n.02']"
semcor_d004.s083,"In `` The King 's Ride '' , Charles breaks out of a long period of petulance and inertia , regains his old self , escapes from <<<Turkey>>> , and finally reaches his own land after an absence of eighteen years .",republic_of_turkey.n.h.01,['turkey.n.02'],turkey.n.02,['turkey.n.02'],"['turkey.n.01', 'turkey.n.02', 'joker.n.02', 'turkey.n.04', 'turkey.n.05']"
chase.v.03_example.0,<<<Chase>>> silver .,chase.v.h.02,"['chase.v.03', 'furrow.v.03']",chase.v.03,['chase.v.03'],"['chase.v.01', 'chase.v.02', 'chase.v.03', 'furrow.v.03']"
semcor_d006.s071,"On December 9 , 1862 , Sergeant Edwin H. Fay , an unusual Louisianan who held <<<A. B.>>> and M. A. degrees from Harvard University and who before the war was headmaster of a private school for boys in Louisiana , wrote his wife :",ab.n.h.04,['bachelor_of_arts.n.01'],bachelor_of_arts.n.01,['bachelor_of_arts.n.01'],"['bachelor_of_arts.n.01', 'ab.n.02', 'abdominal.n.01', 'ab.n.04']"
semcor_d006.s071,"On December 9 , 1862 , Sergeant Edwin H. Fay , an unusual Louisianan who held A. B. and <<<M. A.>>> degrees from Harvard University and who before the war was headmaster of a private school for boys in Louisiana , wrote his wife :",am.n.h.03,['master_of_arts.n.01'],master_of_arts.n.01,['master_of_arts.n.01'],"['ma.n.01', 'master_of_arts.n.01', 'milliampere.n.01', 'massachusetts.n.01']"
rare.s.06_example.0,<<<Rare>>> roast beef .,rare.a.h.02,['rare.s.06'],rare.s.06,['rare.s.06'],"['rare.s.01', 'rare.s.02', 'rare.s.03', 'rare.s.04', 'rare.s.05', 'rare.s.06']"
paddle.v.01_example.0,<<<Paddle>>> your own canoe .,paddle.v.h.01,"['paddle.v.01', 'spank.v.01', 'paddle.v.06']",paddle.v.01,['paddle.v.01'],"['paddle.v.01', 'dabble.v.02', 'paddle.v.03', 'toddle.v.01', 'spank.v.01', 'paddle.v.06']"
semcor_d099.s050,"The city had recently given him a small salary , but it was not enough to supply even necessities . As he neared the square , a round figure muffled in a long , black <<<cape>>> whisked by .",cape.n.h.01,['cape.n.02'],cape.n.02,['cape.n.02'],"['cape.n.01', 'cape.n.02']"
semcor_d110.s034,"At that moment the bathroom door flew open and Eugene came out , with his face lathered for shaving , and strode down the hall , tying the <<<sash>>> of his dressing gown as he went .",cincture.n.h.01,['girdle.n.02'],girdle.n.02,['girdle.n.02'],"['sash.n.01', 'girdle.n.02']"
