d058.s043.t000	shelter.n.h.01.
d058.s043.t001	show.v.h.01.
d058.s043.t002	page.n.h.02.
d058.s043.t003	24.n.h.01.
d058.s043.t004	provide.v.h.01.
d058.s043.t005	almost.r.h.01.
d058.s043.t006	absolute.a.h.01.
d058.s043.t007	protection.n.h.01.
d058.s043.t008	fallout.n.h.01.
d058.s043.t009	radiation.n.h.01.
d160.s058.t000	physicochemical.a.h.01.
d160.s058.t001	investigation.n.h.01.
d160.s058.t002	anionic.a.h.01.
d160.s058.t003	surface-active_agent.n.h.01.
d160.s058.t004	include.v.h.01.
d160.s058.t005	soap.n.h.01.
d160.s058.t006	show.v.h.01.
d160.s058.t007	be.v.h.01.
d160.s058.t008	little.a.h.01.
d160.s058.t009	polymerisation.n.h.01.
d160.s058.t010	agglomeration.n.h.01.
d160.s058.t011	chain.n.h.02.
d160.s058.t012	anion.n.h.01.
d160.s058.t013	below.r.h.01.
d160.s058.t014	certain.a.h.01.
d160.s058.t015	region.n.h.01.
d160.s058.t016	concentration.n.h.01.
d160.s058.t017	critical.a.h.01.
d160.s058.t018	micelle.n.h.01.
d160.s058.t019	concentration.n.h.01.
d163.s089.t000	by_no_means.r.h.01.
d163.s089.t001	be.v.h.01.
d163.s089.t002	isolated.a.h.01.
d163.s089.t003	case.n.h.01.
d333.s042.t000	dance.v.h.01.
d333.s042.t001	lie.v.h.01.
d079.s107.t000	rein_in.v.h.01.
d079.s107.t001	town.n.h.01.
d079.s107.t002	marshal.n.h.01.
d079.s107.t003	office.n.h.01.
d079.s107.t004	box.n.h.01.
d079.s107.t005	sized.a.h.01.
d079.s107.t006	building.n.h.01.
d079.s107.t007	location.n.h.01.
d178.s073.t000	place.v.h.01.
d178.s073.t001	appropriately.r.h.01.
d178.s073.t002	loaded.a.h.01.
d178.s073.t003	barbell.n.h.01.
d178.s073.t004	grasp.v.h.01.
d178.s073.t005	bar.n.h.01.
d178.s073.t006	rest.n.h.01.
d178.s073.t007	back.a.h.01.
d178.s073.t008	neck.n.h.01.
d178.s073.t009	extend.v.h.01.
d178.s073.t010	foot.n.h.01.
d178.s073.t011	forward.r.h.01.
d178.s073.t012	backward.r.h.01.
d178.s073.t013	be.v.h.01.
d178.s073.t014	deep.a.h.01.
d178.s073.t015	leg.n.h.01.
d178.s073.t016	split.n.h.02.
d004.s078.t000	collapse.n.h.01.
d004.s078.t001	desperate.a.h.01.
d004.s078.t002	ill-fated.a.h.01.
d004.s078.t003	campaign.n.h.01.
d004.s078.t004	character.n.h.01.
d004.s078.t005	king.n.h.06.
d004.s078.t006	time.n.h.01.
d004.s078.t007	futility.n.h.01.
d004.s078.t008	be.v.h.01.
d004.s078.t009	non.r.h.01.
d004.s078.t010	but.r.h.01.
d004.s078.t011	pitiable.a.h.01.
d004.s078.t012	often.r.h.01.
d004.s078.t013	ridiculous.a.h.01.
d099.s032.t000	stalk.v.h.01.
d099.s032.t001	beadle.n.h.01.
d099.s032.t002	proclaim.v.h.01.
d099.s032.t003	go.v.h.01.
d099.s032.t004	thus.r.h.01.
d099.s032.t005	council.n.h.01.
d099.s032.t006	deal.v.h.01.
d099.s032.t007	break.v.h.01.
d099.s032.t008	law.n.h.03.
d099.s032.t009	adulterer.n.h.01.
d099.s032.t010	stealer.n.h.01.
d099.s032.t011	manslayer.n.h.01.
d099.s032.t012	lewd.a.h.01.
d099.s032.t013	person.n.h.01.
pad.v.03_example.0	pad.v.h.01.
d146.s058.t000	gray.n.h.04.
d146.s058.t001	face.n.h.01.
d146.s058.t002	stare.v.h.01.
d146.s058.t003	straight.r.h.01.
d146.s058.t004	ahead.r.h.01.
d146.s058.t005	drizzle.n.h.01.
d119.s131.t000	go_to.v.h.01.
d119.s131.t001	park.n.h.02.
d119.s131.t002	nice.a.h.01.
d119.s131.t003	lady.n.h.01.
d119.s131.t004	say.v.h.01.
sin.n.06_example.0	sin.n.h.01.
d077.s065.t000	heave.v.h.01.
d077.s065.t001	dead.a.h.01.
d077.s065.t002	man.n.h.01.
d077.s065.t003	buckboard.n.h.01.
d077.s065.t004	yell.v.h.01.
d077.s065.t005	lash.v.h.01.
d077.s065.t006	team.n.h.01.
d077.s065.t007	get_out.v.h.01.
d077.s065.t008	fast.r.h.01.
d137.s031.t000	one.n.h.01.
d137.s031.t001	validate.v.h.01.
d137.s031.t002	act.n.h.03.
d137.s031.t003	school.n.h.01.
d137.s031.t004	district.n.h.01.
d127.s046.t000	band.n.h.02.
d127.s046.t001	robber.n.h.01.
d127.s046.t002	enter.v.h.01.
d127.s046.t003	railroad_station.n.h.01.
d127.s046.t004	overpower.v.h.01.
d127.s046.t005	tie_up.v.h.03.
d127.s046.t006	telegraph_operator.n.h.01.
d127.s046.t007	hold_up.v.h.01.
d127.s046.t008	train.n.h.01.
d127.s046.t009	escape.v.h.01.
d158.s087.t000	heavily.r.h.01.
d158.s087.t001	armed.a.h.01.
d158.s087.t002	mobilise.v.h.01.
d158.s087.t003	fast.r.h.01.
d158.s087.t004	moving.a.h.01.
d158.s087.t005	civil_defense.n.h.01.
d158.s087.t006	outfit.n.h.01.
d158.s087.t007	23.a.h.01.
d158.s087.t008	switchboard_operator.n.h.01.
d158.s087.t009	office.n.h.01.
d158.s087.t010	personnel.n.h.01.
d158.s087.t011	stand.v.h.01.
d158.s087.t012	ready.a.h.01.
d158.s087.t013	go_in.v.h.01.
d158.s087.t014	action.n.h.01.
d158.s087.t015	minute.n.h.01.
d158.s087.t016	notice.n.h.01.
last.n.03_example.0	last.n.h.01.
idler.n.01_example.0	bum.n.h.02.
d152.s068.t000	follow.v.h.01.
d152.s068.t001	effective.a.h.01.
d152.s068.t002	policy.n.h.01.
d152.s068.t003	underdeveloped.a.h.01.
d152.s068.t004	country.n.h.01.
d152.s068.t005	have.v.h.01.
d152.s068.t006	realistically.r.h.01.
d152.s068.t007	long.a.h.01.
d152.s068.t008	working.a.h.01.
d152.s068.t009	horizon.n.h.01.
d088.s017.t000	literal.a.h.01.
d088.s017.t001	flatness.n.h.01.
d088.s017.t002	now.r.h.01.
