d058.s043.t000	4) temporary housing for homeless or displaced persons.
d058.s043.t001	4) show in, or as in, a picture.
d058.s043.t002	0) one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pict
d058.s043.t003	0) the cardinal number that is the sum of twenty-three and one.
d058.s043.t004	0) give something useful or necessary to.
d058.s043.t005	0) (of actions or states) slightly short of or not quite accomplished; all but.
d058.s043.t006	1) complete and without restriction or qualification; sometimes used informally as intensifiers.
d058.s043.t007	3) the condition of being protected. Question: given the following sentence: "The new policy has been implemented to
d058.s043.t008	0) the radioactive particles that settle to the ground after a nuclear explosionQuestion: given the following sentence: "The
d058.s043.t009	0) energy that is radiated or transmitted in the form of rays or waves or particles. Question: given the
d160.s058.t000	0) relating to physical chemistry.
d160.s058.t001	1) the work of inquiring into something thoroughly and systematically.  Final Answer: The final answer is 1.
d160.s058.t002	0) of or relating to anions.
d160.s058.t003	0) a chemical agent capable of reducing the surface tension of a liquid in which it is dissolved.
d160.s058.t004	2) add as part of something else; put in as part of a set, group, or category.
d160.s058.t005	0) a cleansing agent made from the salts of vegetable or animal fats.
d160.s058.t006	2) provide evidence for.
d160.s058.t007	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d160.s058.t008	0) limited or below average in number or quantity or magnitude or extent. Question: given the following sentence: "
d160.s058.t009	0) a chemical process that combines several monomers to form a polymer or polymeric compound. 0) a chemical
d160.s058.t010	0) a jumbled collection or mass. 0) a jumbled collection or mass. 0) a j
d160.s058.t011	1) (chemistry) a series of linked atoms (generally in an organic molecule). Question: given the following
d160.s058.t012	0) a negatively charged ion.
d160.s058.t013	0) in or to a place that is lower.
d160.s058.t014	0) definite but not specified or identified.
d160.s058.t015	3) the approximate amount of something (usually used prepositionally as in `in the region of').Question:
d160.s058.t016	0) the strength of a solution; number of molecules of a substance in a given volume.
d160.s058.t017	1) at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a
d160.s058.t018	0) an electrically charged particle built up from polymeric molecules or ions and occurring in certain colloidal electrolytic solutions
d160.s058.t019	0) the strength of a solution; number of molecules of a substance in a given volume.
d163.s089.t000	0) definitely not.
d163.s089.t001	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d163.s089.t002	5) remote and separate physically or socially; ; - W.H.Hudson.
d163.s089.t003	0) an occurrence of something.
d333.s042.t000	0) move in a graceful and rhythmical way.
d333.s042.t001	0) be located or situated somewhere; occupy a certain position.
d079.s107.t000	0) stop or slow up one's horse or oneself by or as if by pulling the reins.
d079.s107.t001	0) an urban area with a fixed boundary that is smaller than a city.
d079.s107.t002	0) a law officer having duties similar to those of a sheriff in carrying out the judgments of a court of law.
d079.s107.t003	0) place of business where professional or clerical duties are performed.
d079.s107.t004	8) separate partitioned area in a public place for a few people.
d079.s107.t005	0) having a specified sizeQuestion: given the following sentence: "`` The sound of bells is a net to
d079.s107.t006	0) a structure that has a roof and walls and stands more or less permanently in one placeFinal Answer: The
d079.s107.t007	2) a determination of the place where something is. Question: given the following sentence: "The tourists walked along
d178.s073.t000	3) assign a location to.
d178.s073.t001	0) in an appropriate manner.
d178.s073.t002	0) filled with a great quantity.
d178.s073.t003	0) a bar to which heavy discs are attached at each end; used in weightlifting.
d178.s073.t004	0) hold firmlyQuestion: given the following sentence: "The first book was written by a man, and the
d178.s073.t005	12) a horizontal rod that serves as a support for gymnasts as they perform exercises.
d178.s073.t006	5) a support on which things can be put.
d178.s073.t007	0) related to or located at the backQuestion: given the following sentence: "The sound of bells is a
d178.s073.t008	0) the part of an organism (human or animal) that connects the head to the rest of the bodyQuestion
d178.s073.t009	7) reach outward in space.
d178.s073.t010	0) the part of the leg of a human being below the ankle joint. 8) an army unit consisting of
d178.s073.t011	3) in a forward direction.
d178.s073.t012	0) at or to or toward the back or rear.  (or 1) in a manner or order or
d178.s073.t013	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d178.s073.t014	11) with head or back bent low.
d178.s073.t015	0) a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the
d178.s073.t016	0) extending the legs at right angles to the trunk (one in front and the other in back)
d004.s078.t000	0) an abrupt failure of function or complete physical exhaustion.
d004.s078.t001	0) arising from or marked by despair or loss of hope.  |  |---|---|---|---
