d058.s043.t000	shelter.n.h.01
d058.s043.t001	indicate.v.h.02: ['make (something) visible or noticeable', 'point out, suggest,
d058.s043.t002	page.n.h.02.
d058.s043.t003	24.n.h.02 : ['a number that can be used to identify a specific position or item
d058.s043.t004	provide.v.h.01
d058.s043.t005	almost.r.h.01
d058.s043.t006	absolute.a.h.01
d058.s043.t007	protection.n.h.01
d058.s043.t008	fallout.n.h.01
d058.s043.t009	radiation.n.h.01
d160.s058.t000	physicochemical.a.h.01
d160.s058.t001	investigation.n.h.01
d160.s058.t002	anionic.a.h.01
d160.s058.t003	surface-active_agent.n.h.01
d160.s058.t004	include.v.h.01
d160.s058.t005	soap.n.h.01
d160.s058.t006	show.v.h.02 : ['establish the validity of something, as by an example, explanation or
d160.s058.t007	be.v.h.01
d160.s058.t008	little.a.h.01
d160.s058.t009	polymerisation.n.h.01
d160.s058.t010	The corresponding homonym key for the semantics of the target word "agglomeration" in the given sentence is
d160.s058.t011	chain.n.h.02
d160.s058.t012	anion.n.h.01
d160.s058.t013	below.r.h.01: ['at a later place']
d160.s058.t014	certain.a.h.01
d160.s058.t015	region.n.h.04
d160.s058.t016	concentration.n.h.01
d160.s058.t017	critical.a.h.05
d160.s058.t018	micelle.n.h.01
d160.s058.t019	concentration.n.h.01
d163.s089.t000	by\_no\_means.r.h.01
d163.s089.t001	be.v.h.01 : ['happen, occur, take place']
d163.s089.t002	isolated.a.h.01
d163.s089.t003	case.n.h.01
d333.s042.t000	dance.v.h.01
d333.s042.t001	lie.v.h.01
d079.s107.t000	rein_in.v.h.01
d079.s107.t001	town.n.h.01
d079.s107.t002	marshal.n.h.01
d079.s107.t003	office.n.h.01
d079.s107.t004	box.n.h.01.
d079.s107.t005	sized.a.h.01
d079.s107.t006	building.n.h.01
d079.s107.t007	location.n.h.01
d178.s073.t000	place.v.h.01
d178.s073.t001	appropriately.r.h.01
d178.s073.t002	loaded.a.h.01 : ['filled with a great quantity', '(of weapons) charged with ammun
d178.s073.t003	barbell.n.h.01
d178.s073.t004	grasp.v.h.01
d178.s073.t005	bar.n.h.01.
d178.s073.t006	rest.n.h.01
d178.s073.t007	back.a.h.01
d178.s073.t008	neck.n.h.01
d178.s073.t009	extend.v.h.01: ['stretch out over a distance, space, time, or scope', '
d178.s073.t010	foot.n.h.01
d178.s073.t011	forward.r.h.01
d178.s073.t012	backward.r.h.02
d178.s073.t013	be.v.h.01
d178.s073.t014	deep.a.h.01 : ['very distant in time or space', 'large in quantity or size', '
d178.s073.t015	leg.n.h.01
d178.s073.t016	split.n.h.06: 'an opening made forcibly as by pulling apart', 'division of
d004.s078.t000	collapse.n.h.01
d004.s078.t001	desperate.a.h.01
d004.s078.t002	ill-fated.a.h.01
d004.s078.t003	campaign.n.h.02: ['a military operation or series of military engagements', 'a series of
d004.s078.t004	character.n.h.01
d004.s078.t005	king.n.h.06
d004.s078.t006	time.n.h.06 : ['the continuum of experience in which events pass from the future through the present
d004.s078.t007	futility.n.h.01
d004.s078.t008	be.v.h.01 : ['happen, occur, take place']
d004.s078.t009	non.r.h.01
d004.s078.t010	but.r.h.01
d004.s078.t011	pitiable.a.h.01
d004.s078.t012	often.r.h.01
d004.s078.t013	ridiculous.a.h.02
d099.s032.t000	stalk.v.h.01
d099.s032.t001	The correct answer is: beadle.n.h.01.
d099.s032.t002	proclaim.v.h.01
d099.s032.t003	go.v.h.01: ['follow a procedure or take a course', 'pass, fare, or el
d099.s032.t004	thus.r.h.01
d099.s032.t005	council.n.h.01
d099.s032.t006	deal.v.h.01: ['take action with respect to (someone or something)','manage or
d099.s032.t007	break.v.h.01: ['act in disregard of laws, rules, contracts, or promises']
d099.s032.t008	law.n.h.01
d099.s032.t009	The corresponding homonym key for the semantics of the target word "adulterers" in the given sentence is
d099.s032.t010	stealer.n.h.01
d099.s032.t011	manslayer.n.h.01
d099.s032.t012	lewd.a.h.01
d099.s032.t013	person.n.h.01
pad.v.03_example.0	pad.v.h.01
d146.s058.t000	gray.n.h.01 : ['a neutral achromatic color midway between white and black']
d146.s058.t001	face.n.h.01
d146.s058.t002	stake.v.01: ['fix one's gaze and look at intently', "gaze at fixedly
d146.s058.t003	straight.r.h.01
d146.s058.t004	ahead.r.h.01
d146.s058.t005	drizzle.n.h.01
d119.s131.t000	go_to.v.h.02 : ['travel to a place, location, or destination']
d119.s131.t001	park.n.h.02.
d119.s131.t002	nice.a.h.01
d119.s131.t003	lady.n.h.01
d119.s131.t004	say.v.h.01
sin.n.06_example.0	sin.n.h.01
d077.s065.t000	heave.v.h.01: ['lift or elevate','move or cause to move in a
d077.s065.t001	dead.a.h.01
d077.s065.t002	man.n.h.01
d077.s065.t003	buckboard.n.h.01
d077.s065.t004	yell.v.h.01
d077.s065.t005	lash.v.h.01
d077.s065.t006	team.n.h.01
d077.s065.t007	get_out.v.h.01
d077.s065.t008	fast.r.h.01
d137.s031.t000	one.n.h.01
d137.s031.t001	validate.v.h.01
d137.s031.t002	act.n.h.03
d137.s031.t003	school.n.h.01
d137.s031.t004	district.n.h.01
d127.s046.t000	band.n.h.01
d127.s046.t001	robber.n.h.01
d127.s046.t002	enter.v.h.01
d127.s046.t003	railroad_station.n.h.01
d127.s046.t004	overpower.v.h.01
d127.s046.t005	tie_up.v.h.01
d127.s046.t006	telegraph\_operator.n.h.01
d127.s046.t007	hold_up.v.h.04
d127.s046.t008	train.n.h.01
d127.s046.t009	escape.v.h.01
d158.s087.t000	heavily.r.h.01
d158.s087.t001	armed.a.h.01
d158.s087.t002	mobilise.v.h.01
d158.s087.t003	fast.r.h.01
d158.s087.t004	moving.a.h.01 : ['in motion']
d158.s087.t005	civil_defense.n.h.01
d158.s087.t006	outfit.n.h.01
d158.s087.t007	23.a.h.01
d158.s087.t008	switchboard\_operator.n.h.01
d158.s087.t009	office.n.h.01
d158.s087.t010	personnel.n.h.01
d158.s087.t011	stand.v.h.01
d158.s087.t012	ready.a.h.01
d158.s087.t013	go\_in.v.h.01
d158.s087.t014	action.n.h.01
d158.s087.t015	minute.n.h.01
d158.s087.t016	notice.n.h.01
last.n.03_example.0	last.n.h.01
idler.n.01_example.0	bum.n.h.02
d152.s068.t000	follow.v.h.01 : ['come as a logical consequence; follow logically']
d152.s068.t001	effective.a.h.01
d152.s068.t002	policy.n.h.01
d152.s068.t003	underdeveloped.a.h.01
d152.s068.t004	country.n.h.01
d152.s068.t005	have.v.h.01: ['have or possess','receive willingly something given or offered', '
d152.s068.t006	realistically.r.h.01
d152.s068.t007	long.a.h.01
d152.s068.t008	working.a.h.01
d152.s068.t009	horizon.n.h.02
d088.s017.t000	literal.a.h.01
d088.s017.t001	flatness.n.h.01Explanation: The sentence discusses the lack of depth in a
d088.s017.t002	now.r.h.01: ['at the present moment']
d088.s017.t003	be\_given.v.h.01
d088.s017.t004	assert.v.h.01
d088.s017.t005	main.a.h.01
d088.s017.t006	event.n.h.01
d088.s017.t007	picture.n.h.01
d088.s017.t008	device.n.h.02
d088.s017.t009	boomerang.v.h.01
d088.s017.t010	illusion.n.h.01
d088.s017.t011	depth.n.h.01
d088.s017.t012	render.v.h.01: ['give an interpretation or rendition of','restate (words)
d088.s017.t013	even.r.h.01
d088.s017.t014	more.r.h.01
d088.s017.t015	precarious.a.h.01
d088.s017.t016	before.r.h.01.
scale.v.04_example.0	scale.v.h.03
d097.s170.t000	just.r.h.01
d097.s170.t001	get.v.h.08 : ['reach with a blow or hit in a particular spot','reach by calculation
d097.s170.t002	ass.n.h.01.
d097.s170.t003	kick.v.h.01: ['thrash about or strike out with the feet', 'express complaints,
d097.s170.t004	hut.n.h.01
d097.s170.t005	7.a.h.01
d008.s166.t000	call.n.h.01
d008.s166.t001	constabulary.n.h.01
d008.s166.t002	place.v.h.01
d008.s166.t003	here.r.h.01
d008.s166.t004	a\_couple\_of.a.h.01
d008.s166.t005	minute.n.h.01
d008.s166.t006	9.a.h.01
d008.s166.t007	first.a.h.01
d008.s166.t008	patrol_car.n.h.01
d008.s166.t009	arrive.v.h.01
d008.s166.t010	2.a.h.01
d008.s166.t011	3.a.h.01
d008.s166.t012	minute.n.h.01
d008.s166.t013	10.a.h.01
d008.s166.t014	minute.n.h.01
d008.s166.t015	ago.r.h.01
d008.s166.t016	now.r.h.01 : ['at the present moment']
camp.n.06_example.0	camp.n.h.02.
d036.s022.t000	good.a.h.01
d036.s022.t001	service.n.h.01
d036.s022.t002	start.v.h.01
d036.s022.t003	product.n.h.01
d036.s022.t004	design.n.h.01
d036.s022.t005	planning.n.h.01
d071.s070.t000	strategy.n.h.01
d071.s070.t001	bold.a.h.01
d071.s070.t002	tough.a.h.01.Explanation: The word "tougher" in the context
d071.s070.t003	also.r.h.01
d071.s070.t004	attract.v.h.01
d071.s070.t005	notice.n.h.01
d071.s070.t006	washington.n.h.02: ["the federal government of the United States"]
d071.s070.t007	naval.a.h.01
d071.s070.t008	blockade.n.h.01
d071.s070.t009	cut_off.v.h.01
d071.s070.t010	cuba.n.h.01
d071.s070.t011	destroy.v.h.01
d071.s070.t012	person.n.h.01
d056.s037.t000	aid.n.h.02
d056.s037.t001	get.v.h.01: ['take','receive', 'achieve', 'go after and bring
d056.s037.t002	bos_taurus.n.h.01
d056.s037.t003	sheep.n.h.01
d056.s037.t004	full.a.h.05: ['filled to satisfaction with food or drink']
d056.s037.t005	feed.n.h.01
d056.s037.t006	a. ameliorate.v.h.01
d056.s037.t007	feed.n.h.01
d056.s037.t008	conversion.n.h.05 : ['act of changing from one use or function or purpose to another', 'the
d056.s037.t009	growth.n.h.01
d056.s037.t010	reduce.v.h.01: ['cut down on; make a reduction in', 'narrow or limit']
d056.s037.t011	bloat.n.h.01
d056.s037.t012	founder.n.h.03.
d056.s037.t013	control.v.h.01
d056.s037.t014	scours.n.h.01
d019.s140.t000	old_woman.n.h.01
d019.s140.t001	say.v.h.01
d019.s140.t002	write.v.h.02: ['communicate by letter']
d019.s140.t003	nephew.n.h.01
d019.s140.t004	boxcar.n.h.01
d019.s140.t005	tell.v.h.01
d019.s140.t006	meet.v.h.01
d019.s140.t007	nice.a.h.01
d019.s140.t008	man.n.h.01
d019.s140.t009	adopted.a.h.01
d019.s140.t010	country.n.h.01
d096.s005.t000	bulk.v.h.01
d096.s005.t001	veil.n.h.01
d096.s005.t002	thin.a.h.01
d096.s005.t003	new.a.h.01
d096.s005.t004	grass.n.h.02.
d096.s005.t005	embarrassing.a.h.01
d096.s005.t006	fact.n.h.01
d096.s005.t007	corporality.n.h.01
d096.s005.t008	think.v.h.02
d096.s005.t009	person.n.h.01
d096.s005.t010	set_out.v.h.01 : ['leave']
d096.s005.t011	statuary.n.h.01
d096.s005.t012	soften.v.h.01
d096.s005.t013	meaning.n.h.01
d056.s031.t000	aid.n.h.02
d056.s031.t001	reduce.v.h.01 : ['lessen and make more modest','make smaller', 'narrow or
d056.s031.t002	bacterial.a.h.01
d056.s031.t003	diarrhea.n.h.01
d056.s031.t004	prevent.v.h.01
d056.s031.t005	foot_rot.n.h.01
d056.s031.t006	feed.v.h.01
d056.s031.t007	non.r.h.01.
d056.s031.t008	less.r.h.01
d056.s031.t009	mg.n.h.03
d056.s031.t010	lbf.n.h.01
d056.s031.t011	body\_weight.n.h.01
d056.s031.t012	daily.r.h.01
d058.s082.t000	basement.n.h.01
d058.s082.t001	wall.n.h.01
d058.s082.t002	project.v.h.01: ['extend out or project in space', 'put or send forth', 'throw
d058.s082.t003	ground.n.h.01
d058.s082.t004	shield.v.h.01
d058.s082.t005	make.visible.or.noticeable.show.v.h.01
d058.s082.t006	appendix.n.h.01.Explanation: The word "Appendix" in the sentence
d058.s082.t007	page.n.h.02.
d058.s082.t008	29.n.h.02 : [a page number]
d223.s005.t000	The corresponding homonym key for the target word "lay" in the given context is lie.v.h.01
senseval3.d001.s001.t000	presidential.a.h.01
senseval3.d001.s001.t001	election.n.h.01
senseval3.d001.s001.t002	year.n.h.01
senseval3.d001.s001.t004	nation.n.h.01
senseval3.d001.s001.t007	choose.v.h.01
senseval3.d001.s001.t009	party.n.h.01 (An organization to gain political power)
senseval3.d001.s001.t010	candidate.n.h.01
d042.s015.t000	22.n.h.02 : [['the numeral representing the number twenty-two']]
d042.s015.t001	total.a.h.01
d042.s015.t002	list.n.h.01
d193.s023.t000	evidence.v.h.01
d193.s023.t001	note.v.h.01
d193.s023.t002	be.v.h.01
d193.s023.t003	have.v.h.01: ['have or possess', 'get something; come into possession of']
d193.s023.t004	be.v.h.01
d193.s023.t005	express.v.h.01.
senseval3.d000.s108.t000	man.n.h.01
senseval3.d000.s108.t001	uncanny.a.h.01
senseval3.d000.s108.t002	shadow.n.h.01
senseval3.d000.s108.t003	make.v.h.01 : ['give rise to; cause to happen or occur']
senseval3.d000.s108.t005	noise.n.h.01
senseval3.d000.s108.t006	shadow.n.h.01
d086.s002.t000	preparation.n.h.01
d086.s002.t001	slightly.r.h.01
d086.s002.t002	year.n.h.01
d086.s002.t003	independence.n.h.01
d086.s002.t004	first_step.n.h.01
d086.s002.t005	organise.v.h.01
d086.s002.t006	rural.a.h.01
d086.s002.t007	commune.n.h.02.
d034.s009.t000	open.v.h.01: ['become open']
d034.s009.t001	inch.n.h.01
d034.s009.t002	poke.v.h.01
d034.s009.t003	key.n.h.01.
d034.s009.t004	give.v.h.01: ['transfer possession of something concrete or abstract to somebody', 'convey or reveal
best.n.02_example.0	best.n.h.03
d099.s146.t000	crowd.n.h.01
d099.s146.t001	move_back.v.h.01
d099.s146.t002	person.n.h.01
d099.s146.t003	start.v.h.01
d099.s146.t004	dizzily.r.h.01
d099.s146.t005	hill.n.h.06.
bob.n.07_example.0	bob.n.h.03
d185.s081.t000	person.n.h.01
d185.s081.t001	person.n.h.01
d185.s081.t002	10.a.h.01
d185.s081.t003	year.n.h.01
d185.s081.t004	man.n.h.01
d185.s081.t005	have.v.h.01: ['have ownership or possession of', 'get something; come into possession of']
d185.s081.t006	so.r.h.01: ['from that fact or reason or as a result']
d185.s081.t007	much.a.h.01
d185.s081.t008	ability.n.h.01
d185.s081.t009	baseball.n.h.01
d185.s081.t010	man.n.h.01
d185.s081.t011	agree.v.h.01
d185.s081.t012	never.r.h.01
d185.s081.t013	hit.v.h.01: ['hit with a missile from a weapon', 'affect or afflict
d185.s081.t014	The corresponding homonym key for the target word "heights" is: height.n.h.01.
d120.s108.t000	score.v.h.01: ['gain points in a game', 'get a certain number or letter indicating quality
d120.s108.t001	4.n.h.01
d120.s108.t002	embedded.a.h.01
d120.s108.t003	ball.n.h.03.
d120.s108.t004	3.n.h.01
d120.s108.t005	probationary.a.h.01
truth.n.01_example.0	truth.n.h.02
d061.s109.t000	be.v.h.01 : ['happen, occur, take place']
d061.s109.t001	more.a.h.01.Explanation: The word "more" in the sentence is used
d061.s109.t002	word.n.h.01Explanation: In the context of the sentence, "words" refers
d061.s109.t003	write.v.h.01
d061.s109.t004	other.a.h.01
d061.s109.t005	battle.n.h.01
d061.s109.t006	american.a.h.01
d061.s109.t007	history.n.h.01
d061.s109.t008	group.n.h.01
d061.s109.t009	first.r.h.01
d061.s109.t010	make.v.h.01 : ['make or cause to be or to become', 'give rise to;
d061.s109.t011	mark.n.h.05: ['a symbol of disgrace or infamy', 'an indication of damage
d061.s109.t012	history.n.h.01
d061.s109.t013	regiment.n.h.01
d061.s109.t014	be.v.h.01 : ['happen, occur, take place']
d061.s109.t015	10.a.h.01
d061.s109.t016	year.n.h.01
d061.s109.t017	old.a.h.01
d061.s109.t018	then.n.h.01
d024.s006.t000	recommend.v.h.01
d024.s006.t001	congress.n.h.01
d024.s006.t002	at_times.r.h.01
d024.s006.t003	authorisation.n.h.01
d024.s006.t004	construction.n.h.01
d024.s006.t005	operation.n.h.01 : ['process or manner of functioning or operating']
d024.s006.t006	participation.n.h.01
d024.s006.t007	construction.n.h.01
d024.s006.t008	operation.n.h.01 : ['process or manner of functioning or operating']
d024.s006.t009	demonstration.n.h.01
d024.s006.t010	plant.n.h.01
d024.s006.t011	process.n.h.01
d024.s006.t012	determine.v.h.01
d024.s006.t013	basis.n.h.01
d024.s006.t014	subsection.n.h.01
d024.s006.t015	above.r.h.01. ['in or to a place that is higher']
d024.s006.t016	have.v.h.01: ['have or possess, either in a concrete or an abstract sense', 'c
d024.s006.t017	promise.n.h.01. ['grounds for feeling hopeful about the future']
d024.s006.t018	accomplish.v.h.01
d024.s006.t019	purpose.n.h.01
d024.s006.t020	act.n.h.03
d024.s006.t021	recommendation.n.h.01
d024.s006.t022	accompany.v.h.01
d024.s006.t023	report.n.h.01
d024.s006.t024	size.n.h.01
d024.s006.t025	location.n.h.01
d024.s006.t026	cost.n.h.01
d024.s006.t027	plant.n.h.01
d024.s006.t028	engineering.n.h.01
d024.s006.t029	economic.a.h.01
d024.s006.t030	detail.n.h.01
d155.s000.t000	group.n.h.01
d155.s000.t001	say.v.h.01: ['express in words','report or maintain', "state as one's
d155.s000.t002	fri.n.h.01
d155.s000.t003	investigation.n.h.01
d155.s000.t004	atlanta.n.h.01
d155.s000.t005	recent.a.h.01
d155.s000.t006	primary_election.n.h.01
d155.s000.t007	produce.v.h.01: ['cause to happen, occur or exist']
d155.s000.t008	evidence.n.h.01
d155.s000.t009	irregularity.n.h.01
d155.s000.t010	come_about.v.h.01
state.n.04_example.2	nation.n.h.01
d285.s094.t000	break.v.h.01: ['interrupt the flow of current in', 'prevent completion', 'break away or
d285.s094.t001	cast.v.h.01.
d285.s094.t002	burn.v.h.01: ['shine intensely, as if with heat']
d155.s039.t000	succed.v.h.01
d155.s039.t001	person.n.h.01
d155.s039.t002	become.v.h.01
d155.s039.t003	candidate.n.h.01
d155.s039.t004	sep.n.h.01
d155.s039.t005	primary.n.h.01
d155.s039.t006	person.n.h.01
d155.s039.t007	announce.v.h.01
d155.s039.t008	non.r.h.01.
d155.s039.t009	run.v.h.08: ["run, stand, or compete for an office or a position"]
d155.s039.t010	reelection.n.h.01
spike.n.07_example.0	spike.n.h.01.
d200.s024.t000	make.v.h.01
d200.s024.t001	cut.v.h.03 : ['make an incision or separation']
d200.s024.t002	compare.v.h.01
d200.s024.t003	be.v.h.01: ['is', 'has'] (copula, used with an adjective
d200.s024.t004	scale.v.h.03
cabaret.n.01_example.2	club.n.h.02: ['a building that is occupied by a social club', 'a spot that is
d032.s133.t000	hope.n.h.02
d015.s050.t000	transducer.n.h.01
d015.s050.t001	be.v.h.01
d015.s050.t002	null.a.h.02 : ['having no value or significance']
d015.s050.t003	type.n.h.01
d015.s050.t004	instrument.n.h.01
